Links,Codes,Price,Volume
https://www.cmegroup.com/trading/interest-rates/us-treasury/30-year-us-treasury-bond_contractSpecs_options.html?optionProductId=6076,ZBU4,11828.0,241719
https://www.cmegroup.com/trading/fx/g10/canadian-dollar_contractSpecs_options.html?optionProductId=8104,6CU4,0.72575,54120
https://www.cmegroup.com/trading/equity-index/us-index/e-mini-sandp500_contractSpecs_options.html?optionProductId=8293,ESU4,5513.5,723348
https://www.cmegroup.com/markets/equities/sp/e-mini-sandp500_contractSpecs_options.html?optionProductId=10137,ESU4,5513.5,723348
https://www.cmegroup.com/trading/interest-rates/us-treasury/10-year-us-treasury-note_contractSpecs_options.html?optionProductId=6082,ZNU4,111000.0,1126113
https://www.cmegroup.com/trading/energy/refined-products/heating-oil_contractSpecs_options.html?optionProductId=194,HOU4,2.4613,20530
https://www.cmegroup.com/trading/equity-index/us-index/e-mini-nasdaq-100_contractSpecs_options.html?optionProductId=8044,NQU4,19458.75,342168
https://www.cmegroup.com/trading/equity-index/us-index/e-mini-russell-2000_contractSpecs_options.html?optionProductId=8332,RTYU4,2255.4,113075
https://www.cmegroup.com/trading/equity-index/us-index/e-mini-sandp500_contractSpecs_options.html?optionProductId=8228,ESU4,5513.75,730610
https://www.cmegroup.com/trading/interest-rates/us-treasury/30-year-us-treasury-bond_contractSpecs_options.html?optionProductId=8367,ZBU4,11829.0,243640
https://www.cmegroup.com/trading/energy/crude-oil/brent-crude-oil-last-day_contractSpecs_options.html?optionProductId=2941,BZU4,81.63,15907
https://www.cmegroup.com/trading/equity-index/us-index/e-mini-sandp500_contractSpecs_options.html?optionProductId=8294,ESU4,5513.75,730610
https://www.cmegroup.com/trading/equity-index/us-index/e-mini-sandp500_contractSpecs_options.html?optionProductId=8292,ESU4,5513.5,733730
https://www.cmegroup.com/trading/equity-index/us-index/e-mini-nasdaq-100_contractSpecs_options.html?optionProductId=5397,NQU4,19451.0,345123
https://www.cmegroup.com/trading/fx/g10/swiss-franc_contractSpecs_options.html?optionProductId=8110,6SU4,1.13865,29406
https://www.cmegroup.com/trading/fx/emerging-market/mexican-peso_contractSpecs_options.html?optionProductId=76,6MU4,0.05393,29085
https://www.cmegroup.com/trading/metals/precious/platinum_contractSpecs_options.html?optionProductId=2910,PLV4,965.3,20322
https://www.cmegroup.com/trading/equity-index/us-index/micro-e-mini-sandp-500_contractSpecs_options.html?optionProductId=8933,MESU4,5513.5,470563
https://www.cmegroup.com/markets/equities/sp/e-mini-sandp500_contractSpecs_options.html?optionProductId=10139,ESU4,5513.5,740043
https://www.cmegroup.com/trading/agricultural/dairy/cheese_contractSpecs_options.html?optionProductId=5202,CSCQ4,1.995,50
https://www.cmegroup.com/trading/interest-rates/us-treasury/30-year-us-treasury-bond_contractSpecs_options.html?optionProductId=6078,ZBU4,11831.0,244247
https://www.cmegroup.com/trading/interest-rates/us-treasury/ultra-t-bond_contractSpecs_options.html?optionProductId=4358,UBU4,12514.0,179737
https://www.cmegroup.com/trading/interest-rates/us-treasury/30-year-us-treasury-bond_contractSpecs_options.html?optionProductId=6077,ZBU4,11831.0,244247
https://www.cmegroup.com/trading/interest-rates/us-treasury/5-year-us-treasury-note_contractSpecs_options.html?optionProductId=8352,ZFU4,107152.0,789495
https://www.cmegroup.com/trading/energy/crude-oil/brent-crude-oil-last-day_contractSpecs_options.html?optionProductId=2925,BZU4,81.34,16325
https://www.cmegroup.com/trading/fx/g10/euro-fx_contractSpecs_options.html?optionProductId=8120,6EU4,1.0884,146455
https://www.cmegroup.com/markets/interest-rates/us-treasury/10-year-us-treasury-note_contractSpecs_options.html?optionProductId=10598,ZNU4,111005.0,1137321
https://www.cmegroup.com/trading/interest-rates/us-treasury/ultra-10-year-us-treasury-note_contractSpecs_options.html?optionProductId=7979,TNU4,114160.0,304959
https://www.cmegroup.com/trading/interest-rates/us-treasury/10-year-us-treasury-note_contractSpecs_options.html?optionProductId=8358,ZNU4,111010.0,1142524
https://www.cmegroup.com/markets/fx/cross-rates/usd-cnh_contractSpecs_options.html?optionProductId=10410,CNHU4,7.246,465
https://www.cmegroup.com/trading/agricultural/grain-and-oilseed/corn_contractSpecs_options.html?optionProductId=2883,ZCZ4,4230.0,81042
https://www.cmegroup.com/trading/equity-index/us-index/e-mini-nasdaq-100_contractSpecs_options.html?optionProductId=9012,NQU4,19425.0,356192
https://www.cmegroup.com/trading/metals/ferrous/hrc-steel_contractSpecs_options.html?optionProductId=6593,HRCU4,677.0,94
https://www.cmegroup.com/trading/equity-index/us-index/e-mini-russell-2000_contractSpecs_options.html?optionProductId=8330,RTYU4,2258.4,116195
